Ngay,So ca nhiem,So nguoi chet,So ngay
1/31/2020,1,0,1
2/26/2020,2,0,2
2/27/2020,7,0,3
2/29/2020,12,0,4
3/1/2020,14,0,5
3/2/2020,15,0,6
3/3/2020,21,0,7
3/4/2020,35,0,8
3/5/2020,94,0,9
3/6/2020,101,0,10
3/7/2020,161,0,11
3/8/2020,203,0,12
3/9/2020,248,0,13
3/10/2020,355,0,14
3/11/2020,500,1,15
3/12/2020,599,1,16
3/13/2020,814,1,17
3/14/2020,961,2,18
3/15/2020,1022,3,19
3/16/2020,1103,6,20
3/17/2020,1190,7,21
3/18/2020,1279,10,22
3/19/2020,1439,11,23
3/20/2020,1639,16,24
3/21/2020,1763,20,25
3/22/2020,1934,21,26
3/23/2020,2046,20,27
3/24/2020,2286,36,28
3/25/2020,2026,62,29
3/26/2020,2840,77,30
3/27/2020,3069,105,31
3/28/2020,3447,105,32
3/29/2020,3700,110,33
3/30/2020,4028,146,34
3/31/2020,4435,180,35
4/1/2020,4947,239,36
4/2/2020,5568,308,37
4/3/2020,6131,358,38
4/4/2020,6443,373,39
4/5/2020,6830,401,40
4/6/2020,7206,477,41
4/7/2020,7693,591,42
4/8/2020,8419,687,43
4/9/2020,9141,793,44
4/10/2020,9685,870,45
4/11/2020,10151,887,46
4/12/2020,10483,899,47
4/13/2020,10948,919,48
4/14/2020,11445,1033,49
4/15/2020,11927,1203,50
4/16/2020,12040,1333,51
4/17/2020,13216,1400,52
4/18/2020,13822,1511,53
4/19/2020,14385,1540,54
4/20/2020,14777,1580,55
4/21/2020,15322,1765,56
4/22/2020,16004,1937,57
4/23/2020,16755,2021,58
4/24/2020,17567,2152,59
4/25/2020,18177,2192,60
4/26/2020,18640,2194,61
```,,,
